"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.68333672470567,0.259,0.02,0,"0","DLX6-AS1"
0,4.07193644408779,0.197,0.016,0,"0","DLX5"
0,2.80255109921897,0.151,0.03,0,"0","DLX2"
0,3.95990452264061,0.101,0.01,0,"0","SCGN"
5.77260026965233e-291,4.02191201792258,0.08,0.007,2.22857006010198e-286,"0","DLX6"
8.34863061752764e-233,3.31482807134915,0.126,0.028,3.22307233620272e-228,"0","ST8SIA5"
1.13433442081712e-102,0.475550542824994,0.812,0.943,4.37921146500657e-98,"0","EIF1"
4.54151700225254e-100,0.256054734936329,0.346,0.599,1.75329805388962e-95,"0","EXT1"
4.21143389397781e-94,3.09168969443588,0.255,0.167,1.62586616910907e-89,"0","PDZRN3"
6.93626441072543e-91,0.175837838968551,0.164,0.339,2.67781423840466e-86,"0","PRRC2A"
1.03514695822462e-89,3.12279558469349,0.054,0.013,3.99628834692197e-85,"0","UNC5B-AS1"
1.81624723963261e-88,0.686582077723912,0.151,0.314,7.01180409332565e-84,"0","ST3GAL3"
1.43202055348589e-87,0.132680120058794,0.293,0.515,5.52845854878764e-83,"0","PHF3"
3.28184288599221e-79,0.106693873317788,0.282,0.493,1.26698826456615e-74,"0","PAM16"
6.79630711683142e-79,0.110660274489797,0.275,0.486,2.62378232552394e-74,"0","RNPS1"
1.70122467387236e-75,0.143055823063551,0.193,0.364,6.56774797595162e-71,"0","RAP1A"
1.0829075267745e-74,0.214676115742034,0.294,0.499,4.18067279786562e-70,"0","COG5"
1.11671901519759e-74,0.178878680021893,0.218,0.399,4.31120543007182e-70,"0","IMMT"
2.63818103899308e-74,0.101734368983797,0.224,0.407,1.01849617191367e-69,"0","AMBRA1"
3.93632280891932e-73,0.142628838342248,0.208,0.378,1.51965678361139e-68,"0","ATXN7L1"
5.93754065867744e-73,0.188722413580116,0.228,0.411,2.29224694668901e-68,"0","MAPKAP1"
7.15579074618583e-73,0.111537854738548,0.2,0.366,2.7625645754725e-68,"0","OS9"
1.05524206937756e-72,0.101868902440494,0.301,0.516,4.073867533039e-68,"0","COMMD1"
1.8620885552885e-71,0.130201875937004,0.228,0.408,7.18877907654679e-67,"0","BTBD7"
2.27740299574483e-71,0.108436606539922,0.351,0.585,8.79214200537249e-67,"0","PSMC1"
3.17732659214961e-71,0.206651999135977,0.135,0.271,1.22663870416528e-66,"0","ELMO1"
