"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.15467536555381,0.594,0.102,0,0,"GALNTL6"
0,2.8316693557496,0.78,0.358,0,0,"ZFHX3"
0,3.17884640058145,0.437,0.041,0,0,"LINC02223"
0,3.13287562197784,0.439,0.054,0,0,"ZNF804B"
0,2.03534540421434,0.612,0.235,0,0,"GALNT13"
0,3.21903501040798,0.365,0.031,0,0,"CA10"
0,2.30866124961511,0.398,0.071,0,0,"STXBP5-AS1"
0,2.7020097985304,0.426,0.106,0,0,"SCN1A-AS1"
0,2.51933886701259,0.37,0.05,0,0,"SCN9A"
0,2.13391815843352,0.444,0.135,0,0,"CALY"
0,1.93000618526299,0.479,0.208,0,0,"TAFA2"
0,2.79604419860291,0.328,0.068,0,0,"RPRM"
0,2.11844201543311,0.365,0.108,0,0,"AGBL4"
0,3.39177068438119,0.28,0.023,0,0,"CDH9"
0,1.96299186539637,0.376,0.155,0,0,"SNTG1"
0,2.98719563680868,0.241,0.021,0,0,"GLRA3"
0,2.60592128999831,0.238,0.019,0,0,"LMX1B"
0,4.27247958731931,0.223,0.007,0,0,"LINC01568"
0,1.7712296642859,0.353,0.137,0,0,"MAST4"
0,2.89276328929902,0.231,0.022,0,0,"MAB21L1"
0,1.56362622945396,0.256,0.048,0,0,"HPCAL4"
0,1.61136308696766,0.304,0.096,0,0,"RNF152"
0,2.12560173870339,0.263,0.062,0,0,"CALB2"
0,1.65181679505519,0.926,0.726,0,0,"NOVA1"
0,1.52126630465485,0.244,0.064,0,0,"RAB3B"
0,2.66228446136687,0.194,0.018,0,0,"TLX3"
0,2.21589911818123,0.215,0.045,0,0,"CAVIN2-AS1"
0,0.953673293529758,0.457,0.288,0,0,"ADGRL2"
0,3.31621393242273,0.173,0.012,0,0,"MAB21L2"
0,2.3717722686682,0.201,0.041,0,0,"PRICKLE2-AS1"
0,2.67081480728846,0.213,0.055,0,0,"TAC1"
0,2.15848947010804,0.182,0.025,0,0,"SAMD3"
0,3.23610014750578,0.171,0.016,0,0,"RIT2"
0,3.0229333524977,0.192,0.04,0,0,"PEG3"
0,1.14323463846239,0.873,0.722,0,0,"SNRPN"
0,3.0606324347178,0.166,0.018,0,0,"ONECUT1"
0,1.75036988618594,0.177,0.031,0,0,"CBLN1"
0,1.51459208817916,0.247,0.105,0,0,"ANO5"
0,2.4135628312676,0.154,0.012,0,0,"KCNC2"
0,1.29639520808714,0.259,0.119,0,0,"RNF175"
0,2.2908103700483,0.215,0.09,0,0,"POU3F1"
0,2.69616578146678,0.131,0.01,0,0,"CNGB1"
0,1.1797420210549,0.162,0.043,0,0,"GPR22"
0,3.40279797990141,0.129,0.011,0,0,"CDH18-AS1"
0,2.13888394000921,0.142,0.024,0,0,"WNT4"
0,2.65332288567856,0.137,0.022,0,0,"SLC17A6-DT"
0,2.48333618663227,0.134,0.019,0,0,"HS3ST4"
0,2.17963153384641,0.133,0.018,0,0,"CDH22"
0,2.30092464950669,0.12,0.016,0,0,"PCSK1"
0,1.37519950655891,0.128,0.032,0,0,"ZNF385D-AS2"
0,1.51147842303461,0.123,0.027,0,0,"MAL2"
0,2.5300264705895,0.121,0.026,0,0,"LINC02306"
0,2.93195469125536,0.099,0.005,0,0,"C22orf42"
0,1.47883179475832,0.766,0.673,0,0,"PEG10"
0,1.80182720067619,0.109,0.02,0,0,"CAMK2A"
0,2.30462299127502,0.102,0.019,0,0,"PDE11A"
0,2.84748572892454,0.104,0.023,0,0,"SEMA3E"
0,1.42969341131837,0.102,0.021,0,0,"BAIAP3"
0,3.64802508755922,0.081,0.003,0,0,"DPP10-AS3"
0,2.26809720938859,0.09,0.012,0,0,"PTPRB"
0,2.70946244935046,0.082,0.008,0,0,"CBLN2"
0,2.34580394554285,0.091,0.018,0,0,"AKR1D1"
0,2.26779548247219,0.081,0.009,0,0,"GALNT9"
0,3.49552848865235,0.071,0.008,0,0,"ZPLD1"
0,2.39518743187757,0.067,0.005,0,0,"LMX1A"
0,3.13278821114509,0.066,0.005,0,0,"SCML4"
0,3.03587758927743,0.07,0.009,0,0,"HTR2C"
0,0.51192711752533,0.827,0.78,0,0,"MORF4L1"
6.27745790340859e-305,1.4948888500101,0.131,0.037,2.42347539810239e-300,0,"KCNA3"
3.84889493270213e-298,0.444928086898635,0.903,0.882,1.48590437772126e-293,0,"GNAS"
3.89939819421833e-274,3.89163791641036,0.04,0.002,1.50540166685993e-269,0,"POU6F2-AS2"
1.12871833331861e-273,1.5250307474253,0.12,0.034,4.35752999760983e-269,0,"SYNPR"
2.68217129534174e-261,2.33294306181105,0.07,0.012,1.03547905027963e-256,0,"SLC17A8"
2.81273932162503e-243,1.24592301667272,0.278,0.151,1.08588614250656e-238,0,"PATJ"
4.94695698025667e-237,0.433647832577554,0.454,0.289,1.90982221179789e-232,0,"TMEM108"
4.26255902630836e-234,0.673027763069412,0.577,0.484,1.64560353769661e-229,0,"CISD1"
9.22951355287413e-233,2.53853307447126,0.054,0.008,3.56314600222259e-228,0,"C1QL4"
1.44121329878904e-226,2.59973677836731,0.037,0.003,5.56394806130498e-222,0,"SLC5A7"
1.56482355430199e-224,2.54063595130373,0.035,0.002,6.04115781373826e-220,0,"LINC01201"
1.31861604790643e-220,2.89813398968939,0.03,0.001,5.09064911454756e-216,0,"CTXN3"
3.04116795482684e-213,3.87691814883072,0.038,0.004,1.17407330064045e-208,0,"MIMT1"
1.45348357149701e-210,1.14445475785723,0.143,0.054,5.61131867612135e-206,0,"ZNF385B"
1.3722949399317e-207,2.74488119251044,0.046,0.006,5.29788184510032e-203,0,"TTC29"
1.66539014817088e-205,1.18471848366245,0.112,0.037,6.4294052060285e-201,0,"MAGEL2"
1.80303463101137e-193,2.62847222367793,0.048,0.008,6.96079549648248e-189,0,"SLITRK6"
1.03010340623179e-192,1.26555146218012,0.115,0.041,3.97681721009844e-188,0,"NECAB2"
1.65172025597552e-187,2.85433449628329,0.032,0.003,6.37663122021911e-183,0,"LAMB3"
2.93170198942167e-179,1.77479569329092,0.054,0.011,1.13181287003613e-174,0,"LINC02136"
1.61985859721077e-174,1.1466797875572,0.525,0.44,6.2536261003919e-170,0,"LRBA"
2.80528882819167e-174,1.2430895622345,0.142,0.061,1.08300980501167e-169,0,"ETNK2"
3.47031319949488e-174,3.14650983658651,0.027,0.002,1.33974911379699e-169,0,"LINC02500"
1.36391830515119e-172,0.785191736169227,0.341,0.228,5.26554300886668e-168,0,"SMARCD3"
5.50130263697218e-172,2.08525045536932,0.035,0.004,2.12383289602948e-167,0,"DGKK"
1.98572053542866e-170,1.67681642418972,0.098,0.034,7.6660726990759e-166,0,"DPYD-AS1"
1.05614343732565e-166,1.30905549781227,0.083,0.026,4.07734735413939e-162,0,"SHISAL1"
1.52710634014846e-163,4.01095799878079,0.036,0.005,5.89554673677715e-159,0,"SHOX2"
2.68746579356457e-158,2.47158276862409,0.034,0.004,1.03752304426354e-153,0,"C1QL2"
8.22671257812878e-157,3.75741684167112,0.045,0.009,3.1760046579124e-152,0,"LHX9"
