"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"query_1",TRUE,0.0104620862109589,13,171,5,0.0292397660818713,0.384615384615385,"CORUM:5266","CORUM","TNF-alpha/NF-kappa B signaling complex 6",3383,1618,"CORUM,CORUM,CORUM,CORUM,CORUM","RPS11,RPL6,RPS13,RPL30,RPL4"
"query_1",TRUE,0.0136945166510145,9,171,4,0.0233918128654971,0.444444444444444,"CORUM:807","CORUM","BRG1-associated complex",3383,453,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0136945166510145,4,171,3,0.0175438596491228,0.75,"CORUM:6984","CORUM","ProTalpha C2 complex",3383,2499,"CORUM,CORUM,CORUM","PTMA,MARCKSL1,SET"
"query_1",TRUE,0.0136945166510145,15,171,5,0.0292397660818713,0.333333333333333,"CORUM:714","CORUM","BRM-SIN3A complex",3383,389,"CORUM,CORUM,CORUM,CORUM,CORUM","SMARCE1,HDAC2,SMARCC1,ARID1A,HDAC1"
"query_1",TRUE,0.0136945166510145,9,171,4,0.0233918128654971,0.444444444444444,"CORUM:1237","CORUM","BAF complex",3383,701,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0136945166510145,9,171,4,0.0233918128654971,0.444444444444444,"CORUM:566","CORUM","BAF complex",3383,321,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0136945166510145,14,171,5,0.0292397660818713,0.357142857142857,"CORUM:713","CORUM","BRG1-SIN3A complex",3383,388,"CORUM,CORUM,CORUM,CORUM,CORUM","SMARCE1,HDAC2,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0136945166510145,9,171,4,0.0233918128654971,0.444444444444444,"CORUM:555","CORUM","BAF complex",3383,311,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0136945166510145,9,171,4,0.0233918128654971,0.444444444444444,"CORUM:710","CORUM","Brg1-associated complex I",3383,386,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0189382984384276,10,171,4,0.0233918128654971,0.4,"CORUM:1252","CORUM","EBAFa complex",3383,709,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0189382984384276,10,171,4,0.0233918128654971,0.4,"CORUM:238","CORUM","SWI-SNF chromatin remodeling-related-BRCA1 complex",3383,128,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0189382984384276,10,171,4,0.0233918128654971,0.4,"CORUM:86","CORUM","NUMAC complex (nucleosomal methylation activator complex)",3383,43,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0251110017052345,77,171,11,0.064327485380117,0.142857142857143,"CORUM:1181","CORUM","C complex spliceosome",3383,659,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","DDX5,PRPF6,HNRNPK,HNRNPA1,FRG1,SNRPE,SNRPF,RBMX,HNRNPU,RALY,SNRPD1"
"query_1",TRUE,0.026211353463863,11,171,4,0.0233918128654971,0.363636363636364,"CORUM:7372","CORUM","BRD7-SWI–SNF complex",3383,2801,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0362679063552832,12,171,4,0.0233918128654971,0.333333333333333,"CORUM:806","CORUM","BRM-SIN3A-HDAC complex",3383,452,"CORUM,CORUM,CORUM,CORUM","SMARCE1,HDAC2,SMARCC1,ARID1A"
"query_1",TRUE,0.0376413904729641,2,171,2,0.0116959064327485,1,"CORUM:3121","CORUM","OCT2-TLE4 complex",3383,1407,"CORUM,CORUM","POU2F2,TLE4"
