pathway
GOBP_CHRONIC_INFLAMMATORY_RESPONSE
GOBP_REGULATION_OF_CHRONIC_INFLAMMATORY_RESPONSE
GOBP_IMMUNE_SYSTEM_DEVELOPMENT
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_CHEMOKINE_PRODUCTION
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNALING_PATHWAY
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_INNATE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_REGULATION_OF_IMMUNE_RESPONSE
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_IMMUNE_RESPONSE
GOBP_SYNAPTIC_VESICLE_TRANSPORT
GOBP_SYNAPTIC_VESICLE_LOCALIZATION
GOBP_NERVOUS_SYSTEM_PROCESS
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_ENDOSOME_TO_POSTSYNAPTIC_MEMBRANE
GOBP_POSTSYNAPTIC_SIGNAL_TRANSDUCTION
GOBP_SYNAPTIC_VESICLE_RECYCLING
GOBP_SYNAPTIC_VESICLE_BUDDING
GOBP_LEARNING
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY
GOBP_LONG_TERM_SYNAPTIC_POTENTIATION
GOBP_MEMORY
GOBP_SYNAPTIC_SIGNALING
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING
GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_RECYCLING
GOBP_REGULATION_OF_SYNAPSE_MATURATION
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS
GOBP_SYNAPSE_PRUNING
GOBP_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY
GOBP_PROTEIN_LOCALIZATION_TO_POSTSYNAPSE
GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ASSEMBLY
GOBP_PRESYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_CHOLINERGIC
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION
GOBP_REGULATION_OF_EXCITATORY_SYNAPSE_ASSEMBLY
GOBP_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GOBP_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION
GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY
GOBP_RETROGRADE_TRANS_SYNAPTIC_SIGNALING_BY_LIPID
GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_TRANSPORT
GOBP_SYNAPSE_MATURATION
GOBP_TRANS_SYNAPTIC_SIGNALING_MODULATING_SYNAPTIC_TRANSMISSION
GOBP_REGULATION_OF_NEURON_MATURATION
GOBP_SYNAPTIC_SIGNALING_VIA_NEUROPEPTIDE
GOBP_EXCITATORY_SYNAPSE_ASSEMBLY
GOBP_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY
GOBP_REGULATION_OF_RECEPTOR_LOCALIZATION_TO_SYNAPSE
GOBP_NEURONAL_SIGNAL_TRANSDUCTION
GOBP_SPONTANEOUS_SYNAPTIC_TRANSMISSION
GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION
