"","004_Veh_1","004_Veh_2","006_Veh_1","006_Veh_2","007_Veh_1","007_Veh_2","008_Veh_1","008_Veh_2","C19_Veh_1","C19_Veh_2","22q001_Veh_1","22q001_Veh_2","22q002_Veh_1","22q002_Veh_2","22q003_Veh_1","22q003_Veh_2","22q005_Veh_1","22q005_Veh_2","1F3_Veh_1","1F3_Veh_2"
"A2M",7.4986712889073,7.41058877825618,7.1683328213254,6.268312598487,6.91201266728146,7.27447019813571,6.85110875097471,7.39001823272883,7.74826165664413,7.02907711310851,7.23773844197906,6.59152317254565,10.1404372766522,10.1788258104633,7.81296421749686,8.1479646822843,6.56170912973179,7.75753055837136,7.90272460522975,7.90961987811025
"A4GALT",4.49534211215218,3.38836742604711,4.14913775012395,5.62047844883916,2.90989998402738,4.72542154211787,4.75542602561085,4.21713341493848,6.40382332276175,6.17696402559994,4.18050349812094,4.19038085985497,6.70444909365323,6.78876411065487,5.91829415969708,5.61567711234931,5.11829248476312,4.38999383179492,5.62764194543589,5.23226062124374
"AACSP1",6.74206723523798,6.62431286202811,2.91863216150082,3.6294875066037,2.90989998402738,1.86157213442221,3.43378687921144,4.67128210951736,6.50042486468387,4.88372670280201,3.41509990436309,3.58809687424536,2.90689580647874,3.45827416893817,1.86157213442221,2.75080785178246,4.44974305205275,3.90530230775564,4.03652508799128,3.6566163395087
"ABCA13",5.69566366861008,5.92179522835631,3.48375276061893,3.75421263746753,4.63097835252075,4.30173181492375,4.68913326815679,4.95058343638735,4.60200186130715,4.95241770944533,5.29984662635936,4.41197602682689,7.00254970498503,7.56161083432025,7.16702080343424,7.37558946053307,4.53309151566858,5.60131882752222,7.69213409780038,7.95119850587287
"ABCA8",8.41957021470961,8.35556586879522,7.9713626719487,7.8680990029528,8.25707049132014,8.64330437631627,5.9494632533752,6.01327399396511,7.49086307691811,7.32571376700362,9.37120318529521,9.15339028155726,8.88737455189997,8.93039906526481,8.618723587494,8.79892785627993,8.19614826526737,7.8137505596232,9.9847337786816,10.2429415799321
"ABCB11",2.87477569532525,3.38836742604711,4.96918562140917,4.88078092955962,4.36892002290067,5.00040139796203,6.25016204892338,5.2360499009024,5.17676471559053,5.82513713092007,4.36010180341565,4.76980014081621,3.46668943092628,2.90111450799947,3.83357701029057,3.56724027817978,4.26597342550583,4.89476800251528,3.51302525690774,3.16912013437728
"ABCB4",5.93554469761103,5.72186453422243,5.90887080995571,5.35432639024636,6.2528315096228,6.34824290784073,4.38663075007015,4.67128210951736,4.91866923199599,4.65470415446915,4.78959731801259,3.58809687424536,4.03809245316741,4.55143224438373,3.30601675883791,4.03904351983407,5.68122368545511,4.66528070022913,3.90774141803082,3.38973202415904
"ABCC9",5.40719315242019,5.29641906042521,6.23697918819892,6.69883760099276,6.09210949942866,6.11716600453341,5.19610418474747,5.2360499009024,3.11636969459678,4.73530647705958,4.90753951109703,5.1772756073995,7.93577241074093,8.16461251435622,7.82140496435199,7.8556817536044,3.03322523226634,4.9635876111599,7.21359544202099,7.54505108966549
"ABCD2",10.0325059681524,9.98422204461552,10.1871649884591,10.0131205886395,10.0079773866682,10.0444536702275,9.67749054034767,9.74280362193825,9.13785899120375,8.46527050172347,8.8103184844011,8.41375660092642,6.26385103029395,5.37231507187202,7.69389640180509,7.97080122422784,10.0691593197375,9.96191377155587,6.74520256797285,6.92532906211186
"ABRA",1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,2.90689580647874,2.60441198318544,3.96891110163917,4.48226459132248,1.86157213442221,1.86157213442221,2.90604252284355,3.03860242062525
"ACOT1",5.30787278218687,5.41527985887575,5.3433747452728,5.42567363909522,4.43928897641865,5.72658567233773,5.49367137937642,5.33583943014456,5.82759861669184,5.75072712995514,4.78959731801259,3.11662558371532,2.90689580647874,3.12199852420553,3.7600929031541,3.74496963279761,4.53309151566858,4.16965793462352,3.41583627319122,2.70506832160776
"ACP5",4.91511190446251,5.41527985887575,4.23300029841208,5.49361190311604,4.63097835252075,3.67783828327156,4.99297370611822,2.72402918330773,4.3052959435192,4.38005243543913,4.59152291639038,3.11662558371532,6.27319487550147,6.1717290393424,3.96891110163917,4.03904351983407,4.36097155467164,3.74955777499077,6.38144735546819,6.21309201668635
"ACSF2",8.01327797182575,7.50229079437335,7.83621350638131,7.92420466816474,8.52782773420427,8.48936280521006,7.24009921865454,7.46843390191662,7.05551757502568,6.71482606579775,7.82216986054619,7.8066267607545,8.78517719531403,8.77201325697882,7.38774625889985,7.52821808281621,7.70362050548222,8.2470471083078,8.64316096334397,8.71219246665275
"ACSS3",6.87437174568415,7.23991104539881,6.87410009150073,7.27971347493025,6.82531984842301,6.83703466626129,7.20559950141266,7.35506002468334,6.79507795178182,6.65507165551077,7.27062298844352,7.20678475668687,7.4963882547577,7.29363594659759,8.09293013429889,8.14433590478108,7.26687471579043,6.85856782112533,7.58156917082163,7.2257443714496
