"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AEN",2445.87817068073,3.72722683432382,0.0782464563291467,47.6344490112767,0,0
"APP",71410.5275377344,-1.04374562438135,0.0271938351927895,-38.3817000059668,0,0
"ARRDC4",4578.09736291752,1.91467114954393,0.0486135674898239,39.3855305917369,0,0
"ATF3",1874.51046800425,3.75854336158067,0.0836351974501937,44.9397320287185,0,0
"DGCR8",9836.20521685526,3.57447151454483,0.0406416811185597,87.9508774284558,0,0
"DHCR24",14872.9010800754,-1.57618254190842,0.0411281062728738,-38.3237324726522,0,0
"EGR1",1851.81264378102,3.62530021143438,0.0918842254412472,39.4550881179542,0,0
"FOS",2243.38772549148,2.54119375220131,0.067652918299156,37.5622192817218,0,0
"H3-3B",29748.1284076315,1.16582480651833,0.0298615192769536,39.0410412714024,0,0
"JUN",18923.4764195135,1.96153571440757,0.0301023059708273,65.1623073763361,0,0
"KIF5B",27924.196742306,2.87956770557689,0.0369358259366069,77.9613730722877,0,0
"KLF10",9642.38110444011,5.34493980454266,0.0533399279195837,100.205231109438,0,0
"LHX9",4825.31909637432,-1.9091992010212,0.0469150956366169,-40.6947737207868,0,0
"NEFL",235263.332527798,-0.948196873753007,0.024436077876961,-38.8031532117105,0,0
"NES",23165.1956270096,1.62708173854431,0.0303507523110977,53.609272082174,0,0
"NNAT",23300.7144922235,-1.78182053234486,0.0323730824810423,-55.0401875814047,0,0
"P2RX3",10871.4079292994,-1.93495936255392,0.0358633999344126,-53.9535951999139,0,0
"SCD",27143.5002348311,-1.66805413457802,0.0293387130546231,-56.8550546669318,0,0
"SLC3A2",8646.52256622871,1.97367923611594,0.0441161167630233,44.7382811755139,0,0
"SNN",11697.5139257843,-1.40757728596783,0.0357701492421197,-39.350612613894,0,0
"SON",21254.8520842657,1.30865994579539,0.0278240721489515,47.0333723543305,0,0
"SPOCK2",29722.6245129381,-1.05199334732876,0.0280083043540862,-37.5600512629849,0,0
"TINCR",1528.54936618993,5.05140605389786,0.113446927430991,44.5266008369474,0,0
"TUBA1A",137129.663138701,-1.39707228528709,0.0335723385998005,-41.6137911016838,0,0
"TUBB",46710.5126722903,-1.30704600156478,0.034659554959193,-37.7109862808005,0,0
"TUBB2B",36772.1008017077,-1.33828020798415,0.026107806239285,-51.2597724879087,0,0
"EDIL3",8989.67880812449,-1.56962976618855,0.0419930194189377,-37.3783497330675,8.78395354358121e-306,7.93223538146655e-303
"CALM3",46423.213830436,-0.895329198168555,0.0240361808376977,-37.249228744541,1.09048235851846e-303,9.49576459478467e-301
"HMGCS1",27102.8319586841,-0.999681619006012,0.0268587462568351,-37.2199658705815,3.24461348756393e-303,2.7279367604753e-300
"LGI2",11019.9280636668,-1.23812977797182,0.0335386613042163,-36.9164936769904,2.51286313997241e-298,2.04228763596024e-295
"JMY",4495.77124157328,1.87604367950282,0.0508290289963641,36.9089025807874,3.32621821717552e-298,2.61612427648947e-295
"CREB5",1992.97978758078,2.65474921570452,0.072082112083763,36.8295148263632,6.22370041748909e-297,4.74207073685059e-294
"CNTN1",26890.8044799704,-1.17988201866798,0.0320549319007759,-36.8081274457306,1.36864025074347e-296,1.01121777556447e-293
"ID4",9763.12635504236,-1.54870361596479,0.0421085781122684,-36.778815276918,4.02735433600101e-296,2.88808686530519e-293
"PTN",9511.05956163369,-1.73904920287087,0.047400227699825,-36.6886255037398,1.10893156612385e-294,7.72513412720904e-292
