"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.76096613809428e-273,0.213461633267096,0.242,0.505,1.45195858727268e-268,0,"COPB1"
5.83755105020129e-273,0.280675604247137,0.128,0.33,2.25364495844071e-268,0,"PRRC2A"
3.30769952164294e-272,0.136959138520761,0.249,0.516,1.27697047732547e-267,0,"PSMC4"
1.27299881327134e-271,0.130876775510725,0.199,0.438,4.91453921851534e-267,0,"MFAP1"
2.86436366088082e-271,0.198095338424005,0.196,0.429,1.10581623491965e-266,0,"RAB3GAP1"
2.94592357907544e-271,0.149188754813189,0.42,0.761,1.13730325693786e-266,0,"HNRNPH3"
5.56314033120817e-271,0.109854606592233,0.219,0.467,2.14770595626622e-266,0,"RBM27"
1.23970706758977e-269,0.18182857179929,0.253,0.517,4.78601310513706e-265,0,"MRPL42"
1.37814358951328e-269,0.235641285168775,0.228,0.483,5.32046114167495e-265,0,"FAM32A"
2.03910529866813e-269,0.39288979377865,0.214,0.462,7.8721699160382e-265,0,"CDC37"
1.06314212728879e-268,0.107875393983508,0.168,0.387,4.1043664966111e-264,0,"IWS1"
1.3727079686419e-267,0.10770535277838,0.228,0.481,5.29947638373892e-263,0,"TFAM"
5.83364300076691e-266,0.17832150675088,0.176,0.399,2.25213621687607e-261,0,"UBA6"
4.48408662733921e-265,0.198384056859545,0.368,0.698,1.73112648335057e-260,0,"STRAP"
2.30485799322719e-264,0.114788520117779,0.143,0.344,8.8981347686529e-260,0,"CSE1L"
2.81385662395557e-263,0.151536897155674,0.17,0.386,1.08631748824429e-258,0,"ANAPC10"
2.21760817178462e-261,0.254135071251596,0.2,0.436,8.5612981079917e-257,0,"TIAL1"
3.61991200506858e-260,0.181457163188636,0.277,0.557,1.39750322867678e-255,0,"YTHDF2"
4.49370294781766e-260,0.213621908588054,0.241,0.497,1.73483896003448e-255,0,"NMT1"
1.00866585998585e-259,0.303061069561875,0.167,0.383,3.89405541906136e-255,0,"UBAP2L"
1.15980940954136e-259,0.274926080539099,0.265,0.535,4.47756020647536e-255,0,"SUGT1"
3.08919400139012e-258,0.324119638614193,0.144,0.345,1.19261423617667e-253,0,"UBE4B"
1.15758625098735e-257,0.306815079361883,0.244,0.5,4.46897748056177e-253,0,"NOP56"
7.60835788968587e-257,0.122289386472124,0.344,0.644,2.93728264689213e-252,0,"SNHG32"
8.45293064012005e-257,0.187816447924149,0.2,0.432,3.26333840292474e-252,0,"ZBTB8OS"
2.20594882212547e-256,0.195416112983449,0.188,0.413,8.51628602269757e-252,0,"EI24"
1.09113400280535e-254,0.278953757848998,0.311,0.601,4.21243193123032e-250,0,"SLTM"
7.64848794275614e-254,0.377109985464512,0.251,0.513,2.95277525518044e-249,0,"ZNF721"
8.68617412016415e-254,0.309499632758905,0.167,0.379,3.35338438083057e-249,0,"EP300"
3.02286553522753e-253,0.236427571898946,0.34,0.652,1.16700746852994e-248,0,"MRPL33"
5.28765139205153e-253,0.162177650201985,0.136,0.331,2.04135069641541e-248,0,"TXNDC9"
6.18269063873433e-253,0.329350699378308,0.137,0.333,2.38688954798978e-248,0,"RABL6"
2.60609891319402e-252,0.281106066145862,0.182,0.406,1.00611054642768e-247,0,"FNTA"
2.08904619499241e-251,0.283920859210089,0.202,0.434,8.0649717403877e-247,0,"GON4L"
7.52236684144597e-251,0.155469495983672,0.214,0.45,2.90408494280863e-246,0,"UPF2"
1.03754371774453e-250,0.157500386307961,0.131,0.321,4.00554127672455e-246,0,"PDSS2"
5.16646872843941e-250,0.155188992643302,0.118,0.303,1.99456691730132e-245,0,"SAMD4B"
1.76222109302695e-249,0.369361038709478,0.185,0.404,6.80323075173986e-245,0,"RIF1"
4.1626287195021e-249,0.53542321286481,0.245,0.498,1.60702444345098e-244,0,"RNF187"
2.50711856909692e-248,0.28852007298811,0.144,0.343,9.67898194785558e-244,0,"SNX13"
1.69262855548649e-247,0.126281773567278,0.238,0.489,6.53456180131115e-243,0,"PSMD13"
9.42652093690963e-247,0.257424444824808,0.185,0.403,3.63920267290333e-242,0,"TLK2"
1.2581509938238e-246,0.130450521514212,0.152,0.353,4.85721772675618e-242,0,"NDUFA9"
4.56082765531342e-246,0.176388659234774,0.178,0.393,1.7607531246103e-241,0,"PDCD2"
1.32691400977988e-245,0.24910864692258,0.104,0.278,5.1226842261562e-241,0,"WIPF2"
2.85570029195465e-245,0.711182769674457,0.18,0.396,1.10247165471201e-240,0,"AIMP2"
1.19866025259942e-244,0.359919567427373,0.145,0.343,4.62754777118533e-240,0,"SETX"
5.0827907829013e-244,0.220006014636851,0.099,0.27,1.96226220964688e-239,0,"EHMT2"
7.64932043925642e-244,0.164664530907805,0.147,0.344,2.95309664877933e-239,0,"TRAP1"
1.47110403339791e-243,0.212022084224075,0.363,0.683,5.67934423133596e-239,0,"CAMLG"
2.06226593748174e-243,0.357509995763447,0.212,0.443,7.96158387824199e-239,0,"POLR2B"
5.82494487378363e-243,0.362898672665978,0.249,0.503,2.24877821797291e-238,0,"CSNK2A1"
1.58952949402343e-242,0.188594954293332,0.181,0.397,6.13653756462686e-238,0,"IST1"
2.19439778328463e-242,0.13711437113838,0.101,0.273,8.47169208214864e-238,0,"PAQR3"
2.76024614211015e-241,0.266974253422926,0.136,0.326,1.06562062562305e-236,0,"MARS1"
1.09076033723618e-240,0.253373290651874,0.112,0.29,4.21098935793401e-236,0,"PALM"
1.84432419038397e-239,0.339147551137707,0.123,0.307,7.12019796939634e-235,0,"STK25"
2.64185753353851e-239,0.228457724375673,0.165,0.371,1.01991551939788e-234,0,"COQ4"
1.00606646095252e-238,0.293342161878925,0.108,0.283,3.88402017915332e-234,0,"AGPAT1"
7.99320972386712e-238,0.183335114838266,0.157,0.357,3.08585854599614e-233,0,"TMEM41B"
1.15835322644076e-237,0.436611798350619,0.246,0.494,4.4719384659972e-233,0,"TP53BP1"
3.17383796028269e-237,0.379941483407855,0.208,0.439,1.22529188294674e-232,0,"SND1"
1.03553777384115e-236,0.332302863728663,0.249,0.496,3.99779712969113e-232,0,"ACAP2"
3.26375408697229e-236,0.178657655305873,0.174,0.384,1.26000490281652e-231,0,"ARFGAP3"
1.35463502864374e-235,0.370640386960838,0.279,0.545,5.22970399158203e-231,0,"YME1L1"
1.16344125857971e-234,0.215679582828499,0.183,0.397,4.49158132287285e-230,0,"SLC36A4"
1.46126174535148e-234,0.211601501686048,0.226,0.464,5.64134709410391e-230,0,"BUD23"
8.02774706740804e-234,0.294913411496988,0.186,0.399,3.09919203284355e-229,0,"KPNA1"
1.67751225448409e-233,0.306749428650323,0.259,0.514,6.4762038096613e-229,0,"PCNP"
2.04916689217365e-232,0.118777090825354,0.19,0.408,7.9110137039256e-228,0,"UTP11"
8.27638691167877e-231,0.173459729965128,0.206,0.429,3.1951819311227e-226,0,"TATDN1"
1.21177760810753e-230,0.159115512028225,0.134,0.317,4.67818863385993e-226,0,"MRPL30"
2.65394556965172e-230,0.203261534190528,0.177,0.384,1.02458222661974e-225,0,"P4HB"
2.43624895861345e-229,0.252475353189366,0.181,0.39,9.4053827296231e-225,0,"DAP3"
1.27892293562795e-227,0.248878817430321,0.216,0.442,4.93740988528525e-223,0,"SMG6"
2.00844563577616e-227,0.317275731529942,0.188,0.4,7.75380522147744e-223,0,"HELZ"
3.69875578619489e-227,0.29868158507487,0.163,0.361,1.4279416588184e-222,0,"EIF2B3"
5.07905223605713e-227,0.227362386347221,0.112,0.282,1.96081890625222e-222,0,"RPTOR"
1.09054788157866e-226,0.117345807998181,0.088,0.243,4.21016915162259e-222,0,"GTF2A1"
1.61815103056217e-226,0.267401538898332,0.086,0.243,6.2470338685883e-222,0,"CTNNBIP1"
6.3119339387075e-226,0.250235589667511,0.187,0.397,2.43678521637742e-221,0,"DRG1"
7.82658665862607e-226,0.30155024054236,0.132,0.315,3.02153204542918e-221,0,"BAG6"
1.45760733296016e-225,0.111886827760879,0.172,0.375,5.627238869626e-221,0,"ZNF24"
