pathway
GOMF_IMMUNOGLOBULIN_RECEPTOR_ACTIVITY
GOBP_REGULATION_OF_SYNAPSE_PRUNING
GOBP_POSTSYNAPTIC_DENSITY_PROTEIN_95_CLUSTERING
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_FUSION_TO_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY
GOBP_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION
GOBP_EXCITATORY_CHEMICAL_SYNAPTIC_TRANSMISSION
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_TRANSPORT
GOBP_EXCITATORY_SYNAPSE_ASSEMBLY
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS
GOBP_SYNAPSE_MATURATION
GOBP_SPONTANEOUS_SYNAPTIC_TRANSMISSION
GOBP_REGULATION_OF_EXCITATORY_SYNAPSE_ASSEMBLY
GOBP_REGULATION_OF_SYNAPSE_MATURATION
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_RECYCLING
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GOBP_NEURON_MATURATION
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL
GOBP_MEMORY
GOBP_PRESYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY
GOBP_DENDRITIC_CELL_CYTOKINE_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION
GOBP_LEARNING
GOBP_SYNAPTIC_SIGNALING
GOBP_COGNITION
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC
GOBP_SYNAPTIC_VESICLE_RECYCLING
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL
GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_CYTOKINE_PRODUCTION
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE
GOBP_LONG_TERM_SYNAPTIC_POTENTIATION
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS
GOBP_SYNAPTIC_VESICLE_TRANSPORT
GOBP_SYNAPTIC_TRANSMISSION_CHOLINERGIC
GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY
GOBP_NERVOUS_SYSTEM_PROCESS
GOBP_CYTOKINE_PRODUCTION
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_REGULATION_OF_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_CHEMOKINE_PRODUCTION
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ACUTE_INFLAMMATORY_RESPONSE
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_RESPONSE_TO_CHEMOKINE
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE
GOBP_IMMUNE_COMPLEX_CLEARANCE
