"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLF10",3122.68189850703,4.72573623599458,0.0911173857544545,51.8642649464244,0,0
"NR1D1",497.139283048911,4.97839523306632,0.196531720916415,25.3312554830964,1.4460896998526e-141,1.57016419609996e-137
"JUN",7253.0066258661,1.33120502505249,0.064267598058906,20.7134709442906,2.61889278686388e-95,1.89572919198453e-91
"NES",7667.19307776287,1.24928791427523,0.060987845588685,20.4842112754841,2.97767539759358e-93,1.61657997335355e-89
"KIF5B",11426.0713349982,1.38926413049035,0.0726794795043703,19.1149433095047,1.89625999968018e-81,8.23583643061097e-78
"AEN",825.793766701927,2.35571885340166,0.127054965713849,18.5409428129489,9.65147840688319e-77,3.49319175139792e-73
"ATF3",720.576659682708,2.16509020860817,0.125248177521668,17.2864008997944,5.9556644353082e-67,1.84761726967361e-63
"TINCR",399.680911306739,2.78867643757971,0.173337872730397,16.0880965807,3.09197989825563e-58,8.39317943381491e-55
"TCHH",733.593396275511,2.08098360586883,0.137203582626674,15.1671229426356,5.83802995315313e-52,1.26778658462673e-48
"LHX9",1818.7187039369,-1.30599237587295,0.0888659200102263,-14.6962117279905,6.81680708986922e-49,1.23361485636333e-45
"MIR4435-2HG",435.753290896894,2.06444993302914,0.142482196512329,14.4891781819949,1.41829560013065e-47,2.36920825018748e-44
"CALB1",1508.16126760594,-1.33237785762097,0.0949349188510514,-14.0346447202574,9.56746921373773e-45,1.48405115318235e-41
"NPTX2",2838.82952772848,1.04955206350031,0.0752674976509881,13.9442933039575,3.40806997323706e-44,4.93397650258773e-41
"ALOXE3",312.354989358163,2.77084870021456,0.200471940393138,13.8216285769508,1.8875070790874e-43,2.56181898309137e-40
"ECM1",1452.4424228865,1.71532181351107,0.131533242131407,13.0409756934098,7.15356887188615e-39,8.63038342343775e-36
"EDA2R",311.659979299173,2.40034029939078,0.187007333129104,12.8355410412364,1.03676149673143e-37,1.18496382436946e-34
"DUSP6",2636.56348853668,1.01584456644289,0.0795806400833214,12.7649710454615,2.57246292617803e-37,2.7931802452441e-34
"CDKN1A",570.232466629617,1.84637023629209,0.147360324794214,12.5296292531284,5.14024026438567e-36,5.07388443551814e-33
"HLF",199.3860884835,3.14113053085408,0.254954020866793,12.3203804363425,7.03615726688676e-35,6.64335613946578e-32
"CSRNP1",526.60072407523,1.8022329511793,0.150276739294747,11.992760553877,3.87763238156922e-33,3.2387178768522e-30
"NR1D2",869.008798215067,1.53211776858556,0.128449120468584,11.9278182909807,8.47660029930486e-33,6.57420900356087e-30
"FOS",1894.0689080945,1.17393047719061,0.0987165516082261,11.8919315764753,1.30356495001063e-32,9.76145394980371e-30
"DIO3",145.300487952768,3.03806935049524,0.258509203290237,11.7522676633075,6.87487934329385e-32,4.97649599396564e-29
"H2AJ",436.221244670635,1.72516006263171,0.147350726670848,11.7078490320945,1.16189899763987e-31,8.13928988153139e-29
"PAPPA2",725.754774626935,-1.3664204920779,0.11707497832122,-11.6713281665433,1.78612722124017e-31,1.21211058551411e-28
"CACNG5",1249.7614102509,-1.16414795478461,0.0999627432682697,-11.6458183991649,2.40996976838874e-31,1.58590616637363e-28
"GPRC5C",576.405532640507,2.0277697841614,0.174577941486792,11.6152691851669,3.44701051854736e-31,2.20162589472866e-28
"FOSL2",518.653983994964,1.78868328511398,0.154540954019372,11.5741700733242,5.57077280866276e-31,3.45642578036916e-28
"EGR1",825.43966765253,1.52248325720065,0.134294167992158,11.3369275819152,8.61149480801424e-30,5.0542492229956e-27
"CRY1",1250.48131309113,1.06141678417535,0.0955730957085082,11.10581148708,1.17544725416407e-28,6.38150314285671e-26
"EPHA6",1063.59677463715,-1.21232585252058,0.110182077557548,-11.0029315056923,3.69907429240029e-28,1.91259755556583e-25
"GADD45B",97.6656055313524,3.66450626021613,0.338343280888936,10.8307345444789,2.46172558358078e-27,1.21497347211455e-24
"CHST3",149.343305447484,2.77424132086357,0.256284642138039,10.8248441955774,2.6252525829335e-27,1.26688855757742e-24
"MYH8",112.997670627651,3.20907803936665,0.30021031425179,10.6894329975457,1.14066166793015e-26,5.16054349599397e-24
"CIART",267.000017508071,1.88514104712256,0.176869295460644,10.6583850080527,1.59340261632531e-26,6.92046624322407e-24
"TNFRSF10B",1250.40506751006,1.02884167577354,0.0976586198694824,10.5350831001764,5.95306758543097e-26,2.53483952323959e-23
"DOCK10",849.480209717558,-1.1369032225115,0.111254154979664,-10.2189731495359,1.63058970606806e-24,6.55738630684702e-22
"LMO3",955.985527848737,-1.26805642975949,0.12673864744073,-10.0052861172635,1.44473458189329e-23,5.50418529480609e-21
"CDH20",396.180754353774,-1.60706502168073,0.163775145873221,-9.81263068405245,9.93442646243881e-23,3.65654245861561e-20
"IER2",697.414317232464,1.15923178077983,0.11828161799286,9.80060807800082,1.11909897973977e-22,4.05039224067149e-20
"RFPL2",759.24441717945,1.10726962405895,0.113998084095264,9.71305467847725,2.65265734669276e-22,9.14366776837776e-20
"CDC42EP1",87.0998513839293,4.05843804928153,0.418081074494514,9.70729912658313,2.8067581026343e-22,9.523681087001e-20
"SNHG1",1372.7896774877,1.00509244970228,0.103749439843478,9.68769037421908,3.40133177526942e-22,1.13635878202694e-19
"TMCC3",767.761002364704,-1.03283024017699,0.107641807790613,-9.59506590771939,8.38634857621141e-22,2.67820508354422e-19
"CREB5",583.000172498123,1.36682468854508,0.143520402241185,9.52355670135414,1.6735114351899e-21,5.19171061808342e-19
