"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC51B",3.41186131170557e-08,2.24563891895618,0.013,0.001,0.00131718317799705,"7","SLC51B"
"ENSG00000255045",3.41524698721524e-08,2.45205542125525,0.013,0.001,0.00131849025188431,"7","ENSG00000255045"
"RNF1252",3.43388237205198e-08,0.770240006594688,0.053,0.014,0.00132568462855439,"7","RNF125"
"ENSG00000285941",3.43903812896032e-08,1.39525676734447,0.013,0.001,0.00132767506006642,"7","ENSG00000285941"
"NSRP12",3.44912260764274e-08,0.167357991761231,0.677,0.445,0.00133156827390655,"7","NSRP1"
"LINC02256.13",3.45810972358372e-08,1.03955334534058,0.079,0.027,0.00133503783988673,"7","LINC02256.1"
"HINT23",3.49846187378384e-08,0.230200970259514,0.452,0.277,0.00135061619099299,"7","HINT2"
"TRAPPC2L2",3.61834061401065e-08,0.204667904865763,0.644,0.415,0.00139689657744495,"7","TRAPPC2L"
"SP33",3.68324863616353e-08,0.189926454152752,0.505,0.325,0.00142195496847729,"7","SP3"
"CELA2A",3.70973270165325e-08,2.51666571831119,0.017,0.002,0.00143217940680025,"7","CELA2A"
"HCG11",3.71973833945544e-08,2.18094250552933,0.017,0.002,0.00143604218333017,"7","HCG11"
"PUM33",3.74087200111781e-08,0.107873368026931,0.68,0.455,0.00144420104475154,"7","PUM3"
"TXLNA2",3.75059843248728e-08,0.127652430382615,0.323,0.179,0.00144795603084604,"7","TXLNA"
"DENND2B-AS12",3.79084735512492e-08,1.01668074264212,0.139,0.061,0.00146349452991953,"7","DENND2B-AS1"
"NUBP13",3.83340210978602e-08,0.29111942605033,0.297,0.164,0.00147992321850399,"7","NUBP1"
"INMT",3.85271315209613e-08,2.94351699266201,0.01,0.001,0.00148737843949823,"7","INMT"
"NDC12",3.86757200662351e-08,0.154643511810929,0.208,0.103,0.00149311484887707,"7","NDC1"
"FAM83E2",3.8756986534744e-08,0.976749744191876,0.053,0.014,0.00149625222216033,"7","FAM83E"
"QSOX13",3.88553076284284e-08,0.150658782837475,0.165,0.076,0.00150004800630311,"7","QSOX1"
"RNF1141",3.90839478382679e-08,0.234291876119172,0.439,0.265,0.00150887489024417,"7","RNF114"
"PNRC13",3.94583858312245e-08,0.280628396886054,0.62,0.404,0.00152333044340025,"7","PNRC1"
"STBD11",3.97273741354031e-08,0.951340654183021,0.069,0.022,0.00153371500587137,"7","STBD1"
"E2F81",4.02442243846583e-08,1.6448552159478,0.066,0.02,0.00155366852659412,"7","E2F8"
"PIAS31",4.04648460027936e-08,0.261673185343867,0.152,0.068,0.00156218584478385,"7","PIAS3"
"GNB44",4.08432407324434e-08,0.230110764991292,0.396,0.233,0.00157679415171671,"7","GNB4"
"AGT1",4.14683856950336e-08,2.37343066775866,0.059,0.018,0.00160092849814247,"7","AGT"
"ZFAT3",4.1852831778339e-08,0.15318809404024,0.135,0.058,0.00161577042363456,"7","ZFAT"
"GPR1533",4.20551170500833e-08,0.387192535428808,0.158,0.073,0.00162357984883551,"7","GPR153"
"C11orf961",4.21502733578801e-08,0.974943565058226,0.267,0.149,0.00162725345325432,"7","C11orf96"
"DDIT4L",4.28655686460169e-08,3.15318715130051,0.017,0.002,0.00165486814314813,"7","DDIT4L"
"SLC39A82",4.34278588941811e-08,1.42793046754251,0.046,0.012,0.00167657592046876,"7","SLC39A8"
"PSMB53",4.42136228106867e-08,0.1490017248633,0.835,0.607,0.00170691112222937,"7","PSMB5"
"AJUBA3",4.42273354743659e-08,0.908230421240435,0.066,0.021,0.00170744051332337,"7","AJUBA"
"PPP1R3B1",4.42550857948973e-08,2.0906791068387,0.053,0.015,0.00170851184219781,"7","PPP1R3B"
"ALKAL21",4.46062235029639e-08,2.12813777677513,0.043,0.01,0.00172206786455542,"7","ALKAL2"
"LINC01381",4.51545011763637e-08,1.77740101464794,0.017,0.002,0.0017432346724147,"7","LINC01381"
"FPGS3",4.58170697919416e-08,0.301128237511829,0.231,0.12,0.0017688137963877,"7","FPGS"
