"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GRIA4",0,2.68165652506972,0.703,0.17,0,"0","GRIA4"
"XKR4",0,1.96869918021553,0.746,0.237,0,"0","XKR4"
"RMST",0,2.10592019938598,0.856,0.348,0,"0","RMST"
"CELF4",0,2.37378909759516,0.718,0.225,0,"0","CELF4"
"SCN3A",0,1.98241544760535,0.71,0.223,0,"0","SCN3A"
"PPFIA2",0,1.80395930561992,0.84,0.354,0,"0","PPFIA2"
"TENM1",0,2.82720940227055,0.592,0.118,0,"0","TENM1"
"ENSG00000258162",0,2.16999993556899,0.667,0.203,0,"0","ENSG00000258162"
"RIMS1",0,2.00471393595906,0.702,0.24,0,"0","RIMS1"
"KLHL1",0,2.51307188390721,0.557,0.1,0,"0","KLHL1"
"DSCAM",0,1.86574630604958,0.668,0.216,0,"0","DSCAM"
"ANK3",0,2.04648426478829,0.912,0.46,0,"0","ANK3"
"GALNTL6",0,3.27844422854556,0.535,0.086,0,"0","GALNTL6"
"MIR325HG",0,1.68647341300672,0.802,0.353,0,"0","MIR325HG"
"RIMS2",0,1.86681324590602,0.813,0.364,0,"0","RIMS2"
"MYT1L",0,1.15394835579982,0.726,0.278,0,"0","MYT1L"
"CNTNAP5",0,2.47762052647698,0.56,0.114,0,"0","CNTNAP5"
"FGF14",0,2.34108985462413,0.629,0.183,0,"0","FGF14"
"GRIA2",0,1.38724451332718,0.79,0.347,0,"0","GRIA2"
"CTNNA2",0,1.66288631114654,0.88,0.438,0,"0","CTNNA2"
"CNTNAP2",0,2.05852562459032,0.878,0.439,0,"0","CNTNAP2"
"SYN3",0,2.14897601596819,0.564,0.125,0,"0","SYN3"
"NKAIN2",0,2.15734822564881,0.607,0.17,0,"0","NKAIN2"
"CDH18",0,2.90207861074412,0.565,0.131,0,"0","CDH18"
"NSG2",0,1.48519242704155,0.724,0.292,0,"0","NSG2"
"LINC01414",0,1.82957511351744,0.628,0.199,0,"0","LINC01414"
"LRFN5",0,1.94708703184201,0.608,0.181,0,"0","LRFN5"
"RAB3C",0,1.91761926136873,0.671,0.245,0,"0","RAB3C"
"SLC8A1",0,1.56420344377705,0.727,0.303,0,"0","SLC8A1"
"ADGRL3",0,1.8418472501941,0.925,0.506,0,"0","ADGRL3"
"NRG1",0,1.8827541440249,0.79,0.371,0,"0","NRG1"
"NALF1",0,1.94740640500468,0.888,0.471,0,"0","NALF1"
"MDGA2",0,2.05047604771585,0.644,0.229,0,"0","MDGA2"
"LINGO2",0,1.88964461243419,0.6,0.188,0,"0","LINGO2"
"KCND2",0,2.23250707366058,0.591,0.182,0,"0","KCND2"
"CNTN1",0,2.04070147684661,0.573,0.167,0,"0","CNTN1"
"SCN2A",0,1.83141002665596,0.578,0.173,0,"0","SCN2A"
"TENM2",0,1.93344748233368,0.835,0.43,0,"0","TENM2"
"CCSER1",0,1.22924369438642,0.85,0.447,0,"0","CCSER1"
"SEZ6L2",0,1.54746817625588,0.734,0.332,0,"0","SEZ6L2"
"RUNX1T1",0,1.67097629573692,0.724,0.324,0,"0","RUNX1T1"
"DCC",0,1.55187027850582,0.768,0.374,0,"0","DCC"
"RUNDC3B",0,1.9309017509288,0.553,0.16,0,"0","RUNDC3B"
"MGAT4C",0,2.49443890920947,0.548,0.158,0,"0","MGAT4C"
"STMN2",0,1.48318692172815,0.918,0.531,0,"0","STMN2"
"LRRTM4",0,1.80720292379728,0.634,0.252,0,"0","LRRTM4"
"CSMD1",0,1.94616813482965,0.612,0.235,0,"0","CSMD1"
"NRXN1",0,1.54201097883779,0.948,0.572,0,"0","NRXN1"
"PBX3",0,2.07577175951241,0.88,0.504,0,"0","PBX3"
"GRIN2B",0,1.54267654844531,0.576,0.2,0,"0","GRIN2B"
"TRPM3",0,1.91166347105465,0.545,0.17,0,"0","TRPM3"
"DPP10",0,2.84285549976166,0.54,0.167,0,"0","DPP10"
"CSMD3",0,1.67488135449215,0.713,0.341,0,"0","CSMD3"
"RALYL",0,2.34887093954007,0.559,0.188,0,"0","RALYL"
"INA",0,1.30287148394273,0.679,0.308,0,"0","INA"
"LHFPL3",0,2.50228471099618,0.504,0.134,0,"0","LHFPL3"
"KHDRBS2",0,1.93489339156642,0.633,0.266,0,"0","KHDRBS2"
"GRIK2",0,1.97986747185352,0.565,0.199,0,"0","GRIK2"
"EPHA6",0,2.4156812767466,0.483,0.119,0,"0","EPHA6"
"GABRB3",0,1.47150412132561,0.66,0.298,0,"0","GABRB3"
"DNM3",0,1.64807014017546,0.688,0.326,0,"0","DNM3"
"SORBS2",0,1.4352183321653,0.798,0.439,0,"0","SORBS2"
"RTN1",0,1.54608922507093,0.791,0.433,0,"0","RTN1"
"LUZP2",0,3.30249891193256,0.439,0.082,0,"0","LUZP2"
"EBF1",0,2.05628277603555,0.504,0.148,0,"0","EBF1"
"ERC2",0,1.41959511519125,0.679,0.324,0,"0","ERC2"
"EDIL3",0,1.95843686572203,0.604,0.25,0,"0","EDIL3"
"KCNB2",0,1.87174141959624,0.522,0.168,0,"0","KCNB2"
"TFAP2B",0,2.53372109677036,0.425,0.077,0,"0","TFAP2B"
"TSHZ2",0,2.57498684072409,0.519,0.175,0,"0","TSHZ2"
"NEGR1",0,2.09186606622544,0.819,0.475,0,"0","NEGR1"
"ELAVL2",0,1.52149121886005,0.68,0.337,0,"0","ELAVL2"
"IL1RAPL1",0,2.16271687041414,0.585,0.242,0,"0","IL1RAPL1"
"GREB1L",0,0.907993556343898,0.756,0.414,0,"0","GREB1L"
"TMEFF2",0,1.80891585322871,0.473,0.135,0,"0","TMEFF2"
"CELF5",0,1.36033116602209,0.592,0.254,0,"0","CELF5"
"RBMS3",0,2.07336916937444,0.566,0.23,0,"0","RBMS3"
"LINC02223",0,3.19796972417231,0.368,0.035,0,"0","LINC02223"
"ERBB4",0,1.58476129963435,0.757,0.426,0,"0","ERBB4"
"ZNF804B",0,3.25821972541516,0.375,0.047,0,"0","ZNF804B"
"CNTN5",0,2.18210671703136,0.434,0.111,0,"0","CNTN5"
"ELAVL4",0,1.23967349376787,0.595,0.272,0,"0","ELAVL4"
"GALNT13",0,1.98261188268232,0.55,0.228,0,"0","GALNT13"
"THSD7A",0,1.25155003500473,0.691,0.369,0,"0","THSD7A"
"TMEM163",0,1.94420102645198,0.473,0.153,0,"0","TMEM163"
"NXPH1",0,2.96189929099871,0.363,0.045,0,"0","NXPH1"
"CACNA1C",0,1.5092612343247,0.555,0.239,0,"0","CACNA1C"
"ENSG00000288105",0,3.24949669568239,0.392,0.076,0,"0","ENSG00000288105"
"RGS17",0,1.74230266398941,0.584,0.27,0,"0","RGS17"
"PRKAR2B",0,1.40515140425021,0.638,0.325,0,"0","PRKAR2B"
"SRRM4",0,1.37145653956437,0.552,0.24,0,"0","SRRM4"
"SCN3B",0,1.59065646142259,0.499,0.187,0,"0","SCN3B"
"ZFHX3",0,2.60389755091891,0.673,0.362,0,"0","ZFHX3"
"CSRNP3",0,1.27347290498769,0.769,0.458,0,"0","CSRNP3"
"SGIP1",0,1.59780663986537,0.51,0.2,0,"0","SGIP1"
"BRINP1",0,2.6458308226432,0.382,0.072,0,"0","BRINP1"
"UNC79",0,1.24944962331972,0.575,0.265,0,"0","UNC79"
"ENSG00000286863",0,2.16139514766965,0.462,0.153,0,"0","ENSG00000286863"
"FGF12",0,1.77129899243346,0.467,0.158,0,"0","FGF12"
"POU2F2",0,2.12486162775232,0.459,0.15,0,"0","POU2F2"
"DCX",0,0.953164172687228,0.837,0.528,0,"0","DCX"
"NSG1",0,1.15645770827333,0.685,0.378,0,"0","NSG1"
"FGF13",0,1.33495295823842,0.749,0.442,0,"0","FGF13"
"PGM2L1",0,1.34021311132235,0.585,0.279,0,"0","PGM2L1"
"ASXL3",0,1.25372612859679,0.667,0.362,0,"0","ASXL3"
"UBE2E2",0,1.49199552311646,0.641,0.337,0,"0","UBE2E2"
"PTPRD",0,1.8164627288245,0.91,0.607,0,"0","PTPRD"
"MAPT",0,1.21411585773139,0.751,0.45,0,"0","MAPT"
"STXBP5L",0,1.63883794812934,0.52,0.221,0,"0","STXBP5L"
"SYT4",0,1.54538291761195,0.488,0.19,0,"0","SYT4"
"EPB41L1",0,1.57989600672701,0.479,0.181,0,"0","EPB41L1"
"LY6H",0,1.30504697859426,0.57,0.274,0,"0","LY6H"
"ATP8A1",0,1.56541165967832,0.52,0.225,0,"0","ATP8A1"
"CXADR",0,1.35985150852754,0.717,0.422,0,"0","CXADR"
"DANT2",0,1.64235805518401,0.584,0.289,0,"0","DANT2"
"UNCX",0,2.80733500578697,0.329,0.035,0,"0","UNCX"
"NEFL",0,1.27324430439746,0.453,0.159,0,"0","NEFL"
"GLRA2",0,2.24282645662613,0.385,0.091,0,"0","GLRA2"
"SYT14",0,1.29400995369093,0.585,0.291,0,"0","SYT14"
"KCNIP4",0,2.18224444362084,0.497,0.203,0,"0","KCNIP4"
"LINC03051",0,1.53603131821781,0.527,0.235,0,"0","LINC03051"
"PTPRO",0,1.05599933290011,0.572,0.28,0,"0","PTPRO"
"PCDH7",0,1.78561028441878,0.55,0.262,0,"0","PCDH7"
"UNC5D",0,2.40943988419515,0.389,0.102,0,"0","UNC5D"
"SORCS3",0,2.22347246494369,0.353,0.066,0,"0","SORCS3"
"PLPPR1",0,1.09760287918042,0.513,0.227,0,"0","PLPPR1"
"FRMD5",0,1.11818622151416,0.706,0.42,0,"0","FRMD5"
"SPINT2",0,1.34261189174838,0.471,0.185,0,"0","SPINT2"
"ATP1A3",0,1.34558782593871,0.554,0.269,0,"0","ATP1A3"
"TENM3-AS1",0,3.32177883835922,0.337,0.053,0,"0","TENM3-AS1"
"NYAP2",0,1.4099619349242,0.435,0.152,0,"0","NYAP2"
"HECW1",0,0.724502610078558,0.538,0.255,0,"0","HECW1"
"TNIK",0,0.889804714278021,0.702,0.419,0,"0","TNIK"
"HS3ST5",0,2.7043902850889,0.347,0.064,0,"0","HS3ST5"
"CD24",0,1.03223159299657,0.768,0.486,0,"0","CD24"
"NRG3",0,1.49859824158204,0.913,0.631,0,"0","NRG3"
"ZNF521",0,1.91748956217594,0.54,0.258,0,"0","ZNF521"
"LRRC7",0,0.685504392167166,0.744,0.462,0,"0","LRRC7"
"FSTL5",0,1.95938865916688,0.514,0.233,0,"0","FSTL5"
"NRXN3",0,1.01648065950968,0.55,0.27,0,"0","NRXN3"
"CPEB3",0,1.52799268012975,0.482,0.202,0,"0","CPEB3"
"KSR2",0,1.99305887211433,0.365,0.085,0,"0","KSR2"
"SLC2A13",0,2.08833129734781,0.392,0.113,0,"0","SLC2A13"
"PAK5",0,1.09360948268875,0.515,0.236,0,"0","PAK5"
"SLC8A1-AS1",0,1.75636658149138,0.436,0.158,0,"0","SLC8A1-AS1"
"LRP1B",0,2.16874846868915,0.592,0.314,0,"0","LRP1B"
"MIR124-2HG",0,1.66352224558713,0.45,0.173,0,"0","MIR124-2HG"
"DOK6",0,0.693524742184601,0.649,0.372,0,"0","DOK6"
"SNAP91",0,1.16645182334289,0.624,0.348,0,"0","SNAP91"
"CA10",0,3.22478880340549,0.303,0.027,0,"0","CA10"
"GAP43",0,1.29678259806621,0.85,0.575,0,"0","GAP43"
"KCNQ1OT1",0,1.11024388530196,0.641,0.366,0,"0","KCNQ1OT1"
"ANKS1B",0,0.690032403631004,0.802,0.527,0,"0","ANKS1B"
"NMNAT2",0,1.1344575376502,0.519,0.245,0,"0","NMNAT2"
"TANC2",0,1.09799788540278,0.688,0.414,0,"0","TANC2"
"PALM2AKAP2",0,1.76697948739946,0.401,0.128,0,"0","PALM2AKAP2"
"GNG3",0,1.2500961031228,0.48,0.21,0,"0","GNG3"
"ZFHX4-AS1",0,2.78751028877348,0.371,0.102,0,"0","ZFHX4-AS1"
"SLC17A6",0,2.36512739272131,0.335,0.066,0,"0","SLC17A6"
"SCG3",0,0.875775654135496,0.725,0.456,0,"0","SCG3"
"BASP1-AS1",0,1.64357138467414,0.439,0.172,0,"0","BASP1-AS1"
"SYT1",0,0.967177109485664,0.89,0.624,0,"0","SYT1"
"CHD5",0,1.96710220126505,0.346,0.081,0,"0","CHD5"
"CACNB4",0,1.26813082001896,0.52,0.256,0,"0","CACNB4"
"ENSG00000286648",0,2.30815196756184,0.343,0.079,0,"0","ENSG00000286648"
"PCDH9",0,1.47894559933624,0.763,0.499,0,"0","PCDH9"
"STXBP5-AS1",0,2.32153045321809,0.332,0.069,0,"0","STXBP5-AS1"
"FRRS1L",0,1.51283882373225,0.392,0.13,0,"0","FRRS1L"
"LINC01122",0,1.06889235935887,0.53,0.269,0,"0","LINC01122"
"CAMK2B",0,1.36076173378546,0.407,0.146,0,"0","CAMK2B"
"PTPRN2",0,1.10666746214145,0.688,0.427,0,"0","PTPRN2"
"GRM5",0,1.98850198594221,0.368,0.108,0,"0","GRM5"
"TTC9B",0,1.12120896760126,0.474,0.214,0,"0","TTC9B"
"PCLO",0,0.988263712316163,0.788,0.529,0,"0","PCLO"
"NTM",0,1.02537744744462,0.614,0.355,0,"0","NTM"
"PRKCB",0,2.20677846221245,0.322,0.063,0,"0","PRKCB"
"XIST",0,1.28164639918794,0.45,0.191,0,"0","XIST"
"PRICKLE2",0,1.97494619029411,0.37,0.112,0,"0","PRICKLE2"
"PDE4D",0,0.880257642075582,0.752,0.494,0,"0","PDE4D"
"SCN1A-AS1",0,2.57400700382448,0.361,0.104,0,"0","SCN1A-AS1"
"PCDH15",0,2.93768977605692,0.317,0.06,0,"0","PCDH15"
"LINGO1",0,1.32594619525571,0.442,0.185,0,"0","LINGO1"
"CHGB",0,1.39779633530093,0.396,0.139,0,"0","CHGB"
"TENM3",0,1.55822500172345,0.546,0.29,0,"0","TENM3"
"PLCL1",0,1.64344424754809,0.42,0.164,0,"0","PLCL1"
"CDKN2D",0,1.18825679659666,0.606,0.35,0,"0","CDKN2D"
"GDAP1L1",0,1.15413621747211,0.537,0.281,0,"0","GDAP1L1"
"GRM7",0,2.10755701254435,0.401,0.146,0,"0","GRM7"
"SAMD5",0,3.05030679028498,0.285,0.03,0,"0","SAMD5"
"GPR137C",0,1.29470139837965,0.552,0.298,0,"0","GPR137C"
"LRRC4C",0,0.523138321422706,0.601,0.347,0,"0","LRRC4C"
"GNAL",0,1.54971927478899,0.392,0.138,0,"0","GNAL"
"SGCZ",0,3.00676932126229,0.319,0.066,0,"0","SGCZ"
"PKIA",0,1.43051612776857,0.812,0.559,0,"0","PKIA"
"KCNMA1",0,1.28121872352237,0.417,0.164,0,"0","KCNMA1"
"RIC3",0,1.36102978511362,0.518,0.265,0,"0","RIC3"
"FXYD7",0,1.97283994706592,0.328,0.075,0,"0","FXYD7"
"PCSK1N",0,1.20679151847109,0.831,0.579,0,"0","PCSK1N"
"APBB2",0,1.43969209284559,0.573,0.321,0,"0","APBB2"
"LSAMP",0,1.52755198115682,0.822,0.572,0,"0","LSAMP"
"PARP8",0,1.94233944932187,0.369,0.119,0,"0","PARP8"
"ENOX1",0,0.985110681250372,0.589,0.339,0,"0","ENOX1"
"SH3GL3",0,1.87979066863775,0.346,0.097,0,"0","SH3GL3"
"ZFHX4",0,1.76403970980506,0.558,0.31,0,"0","ZFHX4"
"SCN9A",0,2.38733643732275,0.298,0.05,0,"0","SCN9A"
"RGS7",0,0.993729579514291,0.598,0.351,0,"0","RGS7"
"REEP1",0,1.11450808779293,0.499,0.252,0,"0","REEP1"
"SNTG1",0,2.19101223091443,0.384,0.137,0,"0","SNTG1"
"MACROD2",0,1.22811616025636,0.593,0.346,0,"0","MACROD2"
"RBFOX1",0,1.34513889891368,0.555,0.309,0,"0","RBFOX1"
"CAMK2N2",0,1.50824219465919,0.399,0.153,0,"0","CAMK2N2"
"COPG2IT1",0,1.21426830220134,0.431,0.185,0,"0","COPG2IT1"
"CALN1",0,1.98862844306953,0.331,0.086,0,"0","CALN1"
"GNG2",0,0.934443216555459,0.657,0.413,0,"0","GNG2"
"OLFM3",0,2.70401156550536,0.28,0.036,0,"0","OLFM3"
"CD200",0,1.35370593144338,0.445,0.201,0,"0","CD200"
"KALRN",0,0.831174098210597,0.764,0.52,0,"0","KALRN"
"ENSG00000236283",0,2.1300863464689,0.33,0.087,0,"0","ENSG00000236283"
"LRRTM3",0,2.07061632753447,0.335,0.092,0,"0","LRRTM3"
"SYN2",0,1.74988079796434,0.377,0.134,0,"0","SYN2"
"SMIM18",0,1.75910058226631,0.35,0.107,0,"0","SMIM18"
"ENSG00000227681",0,3.13293528364717,0.268,0.026,0,"0","ENSG00000227681"
"ATP8A2",0,1.06940707767077,0.428,0.186,0,"0","ATP8A2"
"CALY",0,1.82584407888689,0.376,0.135,0,"0","CALY"
"CACNA1B",0,1.18080057862011,0.426,0.186,0,"0","CACNA1B"
"KIF26B",0,1.34144593117365,0.455,0.217,0,"0","KIF26B"
"HERC2P3",0,1.23615786269798,0.622,0.384,0,"0","HERC2P3"
"ACTL6B",0,1.38101424285846,0.384,0.147,0,"0","ACTL6B"
"NAV1",0,0.984925793356295,0.613,0.377,0,"0","NAV1"
"DOCK4",0,1.01435242419069,0.624,0.388,0,"0","DOCK4"
"SPOCK3",0,2.0185737312141,0.297,0.062,0,"0","SPOCK3"
"TAFA2",0,1.97956481463591,0.437,0.202,0,"0","TAFA2"
"JPH4",0,1.43578003264149,0.407,0.172,0,"0","JPH4"
"TNRC6C",0,1.19948685615763,0.738,0.503,0,"0","TNRC6C"
"ZC3H12B",0,1.26933255099148,0.643,0.409,0,"0","ZC3H12B"
"PCDH9-AS2",0,1.86249020888063,0.39,0.156,0,"0","PCDH9-AS2"
"SYP",0,1.19344803204187,0.458,0.224,0,"0","SYP"
"HIP1R",0,1.4541106527219,0.413,0.179,0,"0","HIP1R"
"HDAC2-AS2",0,2.46850517658364,0.342,0.11,0,"0","HDAC2-AS2"
"CLSTN2",0,1.92281998145828,0.325,0.093,0,"0","CLSTN2"
"C1QTNF4",0,1.67128700795794,0.374,0.142,0,"0","C1QTNF4"
"ELMOD1",0,1.7388201048051,0.328,0.096,0,"0","ELMOD1"
"SYT13",0,1.60262687149469,0.298,0.066,0,"0","SYT13"
"NBEA",0,1.15519881060133,0.838,0.607,0,"0","NBEA"
"DOCK3",0,1.14104097329937,0.805,0.575,0,"0","DOCK3"
"PHACTR1",0,0.767718522353346,0.68,0.45,0,"0","PHACTR1"
"SBK1",0,0.960166434765939,0.536,0.306,0,"0","SBK1"
"SNAP25",0,0.780168958189762,0.526,0.296,0,"0","SNAP25"
"ALCAM",0,1.61916241450235,0.447,0.217,0,"0","ALCAM"
"ARFGEF3",0,1.1547353407105,0.401,0.171,0,"0","ARFGEF3"
"DNER",0,1.11961945608867,0.577,0.348,0,"0","DNER"
"NAV3",0,0.615964664617231,0.825,0.596,0,"0","NAV3"
"ATCAY",0,0.88437484326016,0.509,0.28,0,"0","ATCAY"
"STXBP1",0,0.934846585757762,0.558,0.33,0,"0","STXBP1"
"SYT5",0,1.71218626178686,0.32,0.092,0,"0","SYT5"
"ENSG00000271774",0,2.85895020863721,0.306,0.078,0,"0","ENSG00000271774"
"RAPGEF4",0,1.8277092131391,0.319,0.092,0,"0","RAPGEF4"
"SV2A",0,1.23170766450693,0.507,0.28,0,"0","SV2A"
"DLG2",0,0.900720019733692,0.759,0.532,0,"0","DLG2"
"SCG2",0,1.60955737138498,0.401,0.175,0,"0","SCG2"
"NCAM2",0,1.88416219123534,0.586,0.361,0,"0","NCAM2"
"CACNG2",0,1.69090444258031,0.298,0.073,0,"0","CACNG2"
"BTBD8",0,1.3621527337497,0.37,0.147,0,"0","BTBD8"
"LINC01322",0,2.3503901742081,0.31,0.087,0,"0","LINC01322"
"HIVEP3",0,1.44126415915105,0.361,0.138,0,"0","HIVEP3"
"BRINP3",0,1.97570696805239,0.333,0.111,0,"0","BRINP3"
"ASTN2",0,1.73766507649023,0.461,0.239,0,"0","ASTN2"
"TMEM35A",0,1.06150981961876,0.458,0.236,0,"0","TMEM35A"
"ZCCHC12",0,1.882213276169,0.272,0.05,0,"0","ZCCHC12"
"PPP3CA",0,1.02487753697041,0.699,0.477,0,"0","PPP3CA"
"BLCAP",0,1.09454205886583,0.578,0.356,0,"0","BLCAP"
"GUCY1A2",0,1.47325120155082,0.424,0.203,0,"0","GUCY1A2"
"GABRG2",0,1.66424182593367,0.299,0.08,0,"0","GABRG2"
"MIAT",0,0.859982632979004,0.512,0.294,0,"0","MIAT"
"GABRA3",0,2.13858283707131,0.267,0.049,0,"0","GABRA3"
"SRRM3",0,1.38079773081512,0.369,0.151,0,"0","SRRM3"
"SLC12A5",0,1.43192216467098,0.419,0.201,0,"0","SLC12A5"
"GABRB1",0,2.43792740301747,0.259,0.042,0,"0","GABRB1"
"RAPGEF6",0,1.29314538457953,0.623,0.407,0,"0","RAPGEF6"
"ASIC2",0,2.3374039832154,0.255,0.039,0,"0","ASIC2"
"KIRREL3",0,1.51786596288961,0.419,0.203,0,"0","KIRREL3"
"DCLK1",0,0.829522103211458,0.842,0.626,0,"0","DCLK1"
"ATP9A",0,0.969227108820306,0.605,0.389,0,"0","ATP9A"
"SHTN1",0,0.493774776767387,0.542,0.327,0,"0","SHTN1"
"GRIP1",0,1.08136835290384,0.65,0.435,0,"0","GRIP1"
"KCNJ6",0,1.74598377746946,0.331,0.116,0,"0","KCNJ6"
"CADPS",0,0.867348512775474,0.59,0.375,0,"0","CADPS"
"UBE3A",0,1.46714737507221,0.789,0.575,0,"0","UBE3A"
"CDH12",0,1.7647412085859,0.373,0.159,0,"0","CDH12"
"DNM1",0,1.29757155373506,0.395,0.182,0,"0","DNM1"
"SLC38A1",0,0.872304881496535,0.634,0.421,0,"0","SLC38A1"
"FIGN",0,1.27349034018273,0.508,0.296,0,"0","FIGN"
"LHX5-AS1",0,3.34303655405367,0.247,0.035,0,"0","LHX5-AS1"
"CACNA1E",0,1.1353989377292,0.346,0.134,0,"0","CACNA1E"
"MAGI2",0,1.18215798668002,0.858,0.646,0,"0","MAGI2"
"CACNA1D",0,1.58560600253665,0.336,0.125,0,"0","CACNA1D"
"CTNNA3",0,2.12218907585623,0.325,0.114,0,"0","CTNNA3"
"CUX2",0,1.1309170814284,0.436,0.225,0,"0","CUX2"
"LINC00342",0,1.26727243092614,0.608,0.397,0,"0","LINC00342"
"NDST4",0,2.20042200324024,0.314,0.104,0,"0","NDST4"
"APBA1",0,0.980909995662559,0.499,0.289,0,"0","APBA1"
"GABRA2",0,2.47700837268767,0.287,0.077,0,"0","GABRA2"
"STMN4",0,0.762159285613009,0.743,0.533,0,"0","STMN4"
"NAP1L3",0,1.24450881006708,0.408,0.198,0,"0","NAP1L3"
"KLHL13",0,1.7002957222085,0.347,0.137,0,"0","KLHL13"
"CDH9",0,3.44906290158108,0.23,0.021,0,"0","CDH9"
"RCAN2",0,1.86127811731668,0.272,0.063,0,"0","RCAN2"
"DGKI",0,1.10096680222294,0.516,0.307,0,"0","DGKI"
"PWRN4",0,1.79941003396517,0.318,0.109,0,"0","PWRN4"
"NEXMIF",0,0.998078954521996,0.547,0.338,0,"0","NEXMIF"
"ADCY1",0,1.00538991082948,0.38,0.171,0,"0","ADCY1"
"GRID2",0,1.00104151501436,0.694,0.485,0,"0","GRID2"
"MAPK10",0,0.849924976868798,0.782,0.574,0,"0","MAPK10"
"DNAJC6",0,1.22131942751101,0.364,0.156,0,"0","DNAJC6"
"MAPRE3",0,1.20985338333802,0.414,0.206,0,"0","MAPRE3"
"HULC",0,1.44920219996768,0.364,0.156,0,"0","HULC"
"BZW2",0,0.895450066864226,0.575,0.367,0,"0","BZW2"
"TMEFF1",0,0.947211046416417,0.683,0.476,0,"0","TMEFF1"
"MYCBP2",0,1.06213087515596,0.785,0.579,0,"0","MYCBP2"
"AKAP6",0,0.694876920700312,0.784,0.578,0,"0","AKAP6"
"AGBL4",0,2.08269411539087,0.313,0.107,0,"0","AGBL4"
"TMEM130",0,1.76564258415073,0.278,0.072,0,"0","TMEM130"
"ACSL4",0,1.136048288681,0.395,0.189,0,"0","ACSL4"
"BEX5",0,1.15462509511682,0.472,0.267,0,"0","BEX5"
"CXXC4",0,1.17321978362494,0.443,0.239,0,"0","CXXC4"
"GRIA1",0,0.804857108773308,0.633,0.429,0,"0","GRIA1"
"STXBP5",0,1.08031941061137,0.543,0.339,0,"0","STXBP5"
"GABBR2",0,0.485054042131944,0.439,0.235,0,"0","GABBR2"
"ADARB2",0,2.99143116902276,0.248,0.044,0,"0","ADARB2"
"CCDC85A",0,2.56453837204899,0.235,0.031,0,"0","CCDC85A"
"ANK2-AS1",0,1.18618457295061,0.513,0.31,0,"0","ANK2-AS1"
"DPP6",0,0.878100019596448,0.519,0.316,0,"0","DPP6"
"MTMR7",0,1.15885246318398,0.404,0.201,0,"0","MTMR7"
"PRANCR",0,1.29248086615932,0.466,0.263,0,"0","PRANCR"
"ST8SIA4",0,1.50585432926565,0.345,0.142,0,"0","ST8SIA4"
"SLC1A1",0,1.60542206471976,0.299,0.096,0,"0","SLC1A1"
"ABLIM1",0,1.40764098571282,0.357,0.154,0,"0","ABLIM1"
"LINC00290",0,3.51863125373889,0.222,0.02,0,"0","LINC00290"
"RELN",0,2.64231576300042,0.258,0.056,0,"0","RELN"
"SH3BP5",0,0.826756398671456,0.473,0.271,0,"0","SH3BP5"
"XKR6",0,1.04655420995849,0.635,0.434,0,"0","XKR6"
"MCF2L2",0,1.4010852605862,0.367,0.166,0,"0","MCF2L2"
"EPB41",0,1.13513111582259,0.513,0.313,0,"0","EPB41"
"PPM1K",0,1.04443895803241,0.46,0.26,0,"0","PPM1K"
"NRXN2",0,1.16510936673592,0.441,0.241,0,"0","NRXN2"
"CHRM2",0,2.92950134825559,0.224,0.025,0,"0","CHRM2"
"MAST1",0,1.21393081300717,0.374,0.175,0,"0","MAST1"
"SOBP",0,1.03702008487444,0.584,0.385,0,"0","SOBP"
"MTUS2",0,2.06412172185433,0.284,0.085,0,"0","MTUS2"
"RPRM",0,2.48077000763403,0.267,0.069,0,"0","RPRM"
"PTPRR",0,2.95122962491244,0.223,0.025,0,"0","PTPRR"
"ENSG00000233635",0,1.17371147920228,0.451,0.253,0,"0","ENSG00000233635"
"NOL4",0,0.803015436679047,0.484,0.286,0,"0","NOL4"
"LINC03077",0,1.39434886132249,0.396,0.198,0,"0","LINC03077"
"MAP6",0,0.992768108014289,0.557,0.36,0,"0","MAP6"
"CHRM3",0,1.99810144041843,0.341,0.144,0,"0","CHRM3"
"SUSD4",0,2.0655034573106,0.259,0.062,0,"0","SUSD4"
"SVOP",0,1.66843049226065,0.272,0.075,0,"0","SVOP"
"ADAM22",0,1.20674631466527,0.411,0.214,0,"0","ADAM22"
"RABGAP1L",0,1.03692118858762,0.742,0.545,0,"0","RABGAP1L"
"HOMER1",0,1.09258705979474,0.401,0.205,0,"0","HOMER1"
"SEMA5A",0,2.54917952647575,0.239,0.043,0,"0","SEMA5A"
"LRRC26",0,2.03532447052587,0.259,0.063,0,"0","LRRC26"
"SYT16",0,1.29155136933675,0.309,0.113,0,"0","SYT16"
"SCN1A",0,1.37289370762274,0.336,0.141,0,"0","SCN1A"
"NALCN",0,2.42960145500729,0.246,0.051,0,"0","NALCN"
"NOVA1",0,1.87438384989268,0.911,0.717,0,"0","NOVA1"
"KHDRBS3",0,1.35780411216881,0.343,0.149,0,"0","KHDRBS3"
"KIF3A",0,0.917455727847118,0.609,0.415,0,"0","KIF3A"
"PTPN5",0,2.04263125186862,0.237,0.043,0,"0","PTPN5"
"TSPAN7",0,0.94996771669844,0.508,0.314,0,"0","TSPAN7"
"VAV3",0,1.5245036803206,0.286,0.092,0,"0","VAV3"
"NLGN1",0,0.986402013086097,0.799,0.606,0,"0","NLGN1"
