"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.18937709939429e-254,4.71911587281658,0.049,0.005,4.59170922992159e-250,0,"SHOX2"
3.35464169807864e-242,4.33859854127589,0.06,0.008,1.29509297396024e-237,0,"LHX9"
7.08283889612901e-123,3.38917639724565,0.018,0.001,2.73440078423957e-118,0,"EVX2"
5.32898634811378e-108,2.31709015192996,0.033,0.006,2.05730846955281e-103,0,"PHOX2B-AS1"
6.83488131747771e-93,2.20191283931942,0.032,0.006,2.63867428142545e-88,0,"PHOX2B"
3.93895777216483e-90,1.86931710382138,0.038,0.009,1.52067403752195e-85,0,"LINC00682"
3.72339730329413e-84,2.49293675439363,0.044,0.013,1.43745476290973e-79,0,"LINC01828"
3.00262745499692e-75,2.06562085244714,0.023,0.004,1.15919435527611e-70,0,"CTXN3"
1.92323636765575e-61,3.22156029899711,0.011,0.001,7.42484632097178e-57,0,"LINC02712"
4.81616590644575e-59,2.60063131799511,0.021,0.004,1.85932900984244e-54,0,"CRHBP"
1.93819799229187e-58,3.74951327892717,0.042,0.015,7.48260716904198e-54,0,"SST"
1.06120999602681e-52,2.6014223927358,0.014,0.002,4.09690731066111e-48,0,"OTP"
4.56057890355113e-48,2.74098234316561,0.024,0.006,1.76065709150495e-43,0,"MAFA"
8.7608643873796e-48,3.45289527160098,0.013,0.002,3.38221930539177e-43,0,"LINC02720"
1.14571471416577e-45,1.80283612483336,0.027,0.008,4.42314622550837e-41,0,"SLC6A2"
3.40770614182517e-43,3.17939679904424,0.011,0.002,1.31557903311302e-38,0,"PRL"
6.85230166367283e-43,3.17649658413732,0.012,0.002,2.64539958027753e-38,0,"CEDORA"
3.30034264602047e-34,0.825207639317087,0.018,0.005,1.27413028192266e-29,0,"DDC"
1.8722734663592e-32,2.84371772843806,0.011,0.002,7.22809894422633e-28,0,"LINC01797"
4.75395752642785e-30,2.69828004636871,0.013,0.003,1.83531284265274e-25,0,"HOXB3"
2.41793199294281e-29,1.43432936084657,0.017,0.005,9.33466825195501e-25,0,"DBH"
4.29464296886725e-29,3.62796339135428,0.011,0.003,1.65798986456089e-24,0,"LINC02300"
4.86635560845439e-23,1.80496124265453,0.012,0.003,1.8787052461999e-18,0,"KCNJ5"
5.20728730772303e-20,2.14133865076997,0.014,0.005,2.01032533801955e-15,0,"SLC6A5"
3.88713347452466e-19,1.71535425543538,0.01,0.003,1.50066674917499e-14,0,"PRB2"
6.64850875647e-19,1.42475375040737,0.017,0.007,2.56672329052281e-14,0,"IRX6"
4.49481610786434e-18,0.100803228758693,0.136,0.189,1.73526870660211e-13,0,"VPS39"
2.94180673340751e-15,0.952685553435319,0.011,0.004,1.1357139074993e-10,0,"MC4R"
5.09891305518238e-13,1.91090223812668,0.011,0.004,1.96848637408371e-08,0,"LINC02945"
1.08147075720953e-11,0.162973449140542,0.046,0.069,4.1751260052831e-07,0,"ATG4A"
4.55087041152878e-11,0.152769202167483,0.118,0.154,1.7569090310748e-06,0,"MTG2"
7.29176449126011e-11,1.74373018964365,0.013,0.006,2.81505859949588e-06,0,"LINC00923"
2.08757404370773e-10,0.98079947085629,0.011,0.005,8.05928835313806e-06,0,"GCK"
5.62656482372993e-10,0.195333930720334,0.12,0.156,2.17219161584918e-05,0,"SETD6"
7.32917925559451e-10,0.170240816865728,0.193,0.24,2.82950294341482e-05,0,"ALG11"
4.09290467177266e-09,0.828672327710869,0.012,0.006,0.000158010677758455,0,"QPCT"
4.32788947741155e-09,1.82021366366232,0.012,0.006,0.00016708250116495,0,"LINC02964"
4.47825830745686e-08,2.63866399357999,0.014,0.008,0.0017288764021768,0,"DIRAS3"
4.80311427948734e-08,0.111633308043734,0.095,0.121,0.00185429029873888,0,"RETREG3"
3.01720360317143e-07,1.49095269637921,0.016,0.009,0.0116482162304036,0,"PHOX2A"
1.20375128938403e-06,0.28852068369883,0.185,0.227,0.04647202227796,0,"MKRN3"
1.35732917565158e-06,0.135547613530125,0.06,0.078,0.0524010501552049,0,"ZNF282"
6.01647209578594e-06,1.47233606689027,0.01,0.006,0.232271921729912,0,"LRRC53"
1.69644482047477e-05,0.274420348987033,0.03,0.041,0.654929487392488,0,"ANKDD1B"
2.3968341415784e-05,1.21177912600166,0.011,0.006,0.925321788697756,0,"DNAJC22"
2.77791898572424e-05,0.384503909785066,0.013,0.021,1,0,"BET1-AS1"
4.56394492815681e-05,0.212471014609318,0.109,0.131,1,0,"ZNF414"
0.000112790292809448,0.441994359558483,0.016,0.023,1,0,"SNX9-AS1"
0.0001395788862422,0.267203038451913,0.021,0.029,1,0,"BTBD18"
0.000513897747946734,0.330669523999298,0.064,0.077,1,0,"PER2"
0.000703179559179011,0.89536012208393,0.01,0.007,1,0,"PAX5"
