"module","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj"
"MEplum1",-0.352465758449775,-0.176232879224888,0.176232879224888,-3.71874213208066,0.00338075610721654,11.0163552622132,-0.561039351416874,-0.143892165482677,"Welch Two Sample t-test","two.sided",0.162276293146394
"MEblack",0.323652380297203,0.161826190148601,-0.161826190148601,3.17750354151632,0.0151346355627538,7.14231631536059,0.0837672860148622,0.563537474579543,"Welch Two Sample t-test","two.sided",0.278304665508863
"MEdarkmagenta",0.317670835907824,0.158835417953912,-0.158835417953912,3.07839283289874,0.017394041594304,7.14881770816705,0.0746824165484724,0.560659255267176,"Welch Two Sample t-test","two.sided",0.278304665508863
"MEblue",0.255452923620794,0.127726461810397,-0.127726461810397,2.22377044856557,0.0603923593640083,7.21898922903221,-0.0145188967971411,0.52542474403873,"Welch Two Sample t-test","two.sided",0.323072107217768
"MEbrown4",0.264464237552707,0.132232118776353,-0.132232118776353,2.3319753469444,0.0502475950969338,7.46253011623124,-0.000369753404238923,0.529298228509652,"Welch Two Sample t-test","two.sided",0.323072107217768
"MEdarkgreen",0.242899369801439,0.12144968490072,-0.12144968490072,2.07957142056912,0.0650235639104895,9.72500581472807,-0.0183540448205283,0.504152784423407,"Welch Two Sample t-test","two.sided",0.323072107217768
"MEdarkorange",0.267789157468561,0.133894578734281,-0.133894578734281,2.37298379348733,0.0492386049213669,7.0301291955753,0.00117502596398838,0.534403288973134,"Welch Two Sample t-test","two.sided",0.323072107217768
"MEivory",0.249811831954498,0.124905915977249,-0.124905915977249,2.15807977113588,0.0513320737827689,12.3136211097658,-0.00168937829470645,0.501313042203702,"Welch Two Sample t-test","two.sided",0.323072107217768
"MEorange",0.249548130030942,0.124774065015471,-0.124774065015471,2.15504545985073,0.0673066890037016,7.14718888381932,-0.0231296431978903,0.522225903259774,"Welch Two Sample t-test","two.sided",0.323072107217768
"MEtan",0.251415503401085,0.125707751700543,-0.125707751700543,2.17660176541853,0.0472804869722171,13.8783268839228,0.00347098274382622,0.499360024058345,"Welch Two Sample t-test","two.sided",0.323072107217768
"MEpink",-0.223085904029291,-0.111542952014646,0.111542952014646,-1.86538580702495,0.0846249428847747,13.1307558834314,-0.481188217738704,0.0350164096801211,"Welch Two Sample t-test","two.sided",0.369272478042653
"MEbrown",-0.169779885307569,-0.0848899426537843,0.0848899426537842,-1.35077321846997,0.213893135720052,7.9634475419577,-0.45985532858358,0.120295557968443,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEcyan",0.168451415879256,0.0842257079396281,-0.0842257079396281,1.3388445990599,0.222099318116067,7.06425466284772,-0.128514356125937,0.46541718788445,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEdarkolivegreen",-0.185924503085168,-0.0929622515425842,0.0929622515425841,-1.49880613061862,0.176931773370187,7.11272230653436,-0.478312618783772,0.106463612613435,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEdarkorange2",0.145670306556006,0.0728351532780032,-0.0728351532780032,1.1395302819197,0.273610490250419,13.9953382341372,-0.128514156075951,0.419854769187964,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEdarkred",-0.166085440387241,-0.0830427201936207,0.0830427201936206,-1.31768903462634,0.226625353743167,7.46131603739056,-0.460434512638592,0.128263631864109,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEdarkturquoise",0.177431529798905,0.0887157648994526,-0.0887157648994526,1.4202053831576,0.177665119893837,13.8506769785012,-0.0907959034209408,0.445658963018751,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEfloralwhite",-0.179351230977704,-0.089675615488852,0.089675615488852,-1.43782624889423,0.192749925746162,7.15392036031573,-0.473027551189951,0.114325089234543,"Welch Two Sample t-test","two.sided",0.482441885606475
