"gene","module"
"EPCAM-DT","black"
"EPGN","black"
"ETNK1-DT","black"
"ETV7","black"
"EVA1A","black"
"EXOC1L","black"
"F11R","black"
"FAAP24","black"
"FABP2","black"
"FABP7","black"
"FAM131B-AS1","black"
"FAM136EP","black"
"FAM151B","black"
"FAM153CP","black"
"FAM219B","black"
"FAM83A-AS1","black"
"FBXL15","black"
"FBXL5","black"
"FBXO43","black"
"FBXW10","black"
"FCMR","black"
"FCRL2","black"
"FDXR","black"
"FGF10-AS1","black"
"FGF23","black"
"FGFBP3","black"
"FGFR3","black"
"FHAD1-AS1","black"
"FHOD3","black"
"FLG2","black"
"FLJ40194","black"
"FMO11P","black"
"FOXA2","black"
"FOXD3-AS1","black"
"FOXI1","black"
"FOXN3-AS2","black"
"FRG1BP","black"
"FRK","black"
"FXYD3","black"
"FZD10","black"
"G6PC2","black"
"GABRG3-AS1","black"
"GADD45B","black"
"GAGE2E","black"
"GAPDHP25","black"
"GATA3","black"
"GATA6-AS1","black"
"GCNT2","black"
"GCNT3","black"
"GFI1","black"
"GFI1B","black"
"GGNBP2","black"
"GGT6","black"
"GIHCG","black"
"GIMAP8","black"
"GIP","black"
"GNA14-AS1","black"
"GNG11","black"
"GNG5P3","black"
"GOLGA8S","black"
"GORAB-AS1","black"
"GPATCH1","black"
"GPATCH3","black"
"GPN1","black"
"GPR101","black"
"GPR176-DT","black"
"GPR183","black"
"GPR20","black"
"GRAMD2A","black"
"GRAMD4P3","black"
"GRAMD4P8","black"
"GRID2","black"
"GRM5P1","black"
"GS1-24F4.2","black"
"GSDMC","black"
"GSG1L2","black"
"GSPT2","black"
"GTSCR1","black"
"GYPC","black"
"H2BP8","black"
"H3P13","black"
"HAGHL","black"
"HAND2-AS1","black"
"HAVCR1","black"
"HBQ1","black"
"HDAC4-AS1","black"
"HEATR6-DT","black"
"HELLPAR","black"
"HIVEP2-DT","black"
"HMGA1P4","black"
"HMGB1P29","black"
"HMGB1P48","black"
"HMGB3P23","black"
"HMGB3P5","black"
"HMGN1P36","black"
"HMGN2P16","black"
"HMGN2P27","black"
"HNF1B","black"
"HNF4A","black"
"HNRNPKP5","black"
"HOXA2","black"
"HOXC11","black"
"HS1BP3","black"
"HS6ST1","black"
"HTR1D","black"
"HTR4","black"
"HTRA4","black"
"HULC","black"
"IDH2-DT","black"
"IDO2","black"
"IFI30","black"
"IFITM9P","black"
"IFNW1","black"
"IFNWP5","black"
"IFT22","black"
"IGFBP2","black"
"IGHEP2","black"
"IGHVII-74-1","black"
"IL12A-AS1","black"
"IL12RB2","black"
"IL1RN","black"
"IL2","black"
"IL2RA","black"
"IRAG2","black"
"IRF6","black"
"IRX3","black"
"ISCA1P2","black"
"ISCA2","black"
"IST1","black"
"ITGB8","black"
"ITPKB-IT1","black"
"JAG1","black"
"JAZF1-AS1","black"
"JMJD8","black"
"JUND","black"
"KDM7A-DT","black"
"KIAA2012","black"
"KLK11","black"
"KLRC1","black"
"KLRD1","black"
"KLRK1-AS1","black"
"KNG1","black"
"KNOP1P5","black"
"KRI1","black"
"KRT13","black"
"KRT17P3","black"
"KRT18P14","black"
"KRT18P16","black"
"KRT18P22","black"
"KRT18P27","black"
"KRT18P35","black"
"KRT18P39","black"
"KRT18P40","black"
"KRT18P61","black"
"KRT26","black"
"KRT8P21","black"
"KRT8P32","black"
"KRTAP13-2","black"
"KRTAP27-1","black"
"KXD1","black"
"KYNU","black"
"LAIR1","black"
"LAMA5-AS1","black"
"LARS2-AS1","black"
"LCE6A","black"
"LGALS12","black"
"LGSN","black"
"LHX1-DT","black"
"LIF-AS1","black"
"LILRB4","black"
"LINC00052","black"
"LINC00211","black"
"LINC00299","black"
"LINC00303","black"
"LINC00305","black"
"LINC00320","black"
"LINC00326","black"
"LINC00330","black"
"LINC00332","black"
"LINC00378","black"
"LINC00381","black"
"LINC00456","black"
"LINC00494","black"
"LINC00536","black"
"LINC00551","black"
"LINC00581","black"
"LINC00598","black"
"LINC00606","black"
"LINC00607","black"
"LINC00635","black"
"LINC00639","black"
"LINC00670","black"
"LINC00671","black"
"LINC00687","black"
"LINC00689","black"
"LINC00700","black"
"LINC00708","black"
"LINC00710","black"
"LINC00836","black"
"LINC00853","black"
"LINC00899","black"
"LINC00905","black"
"LINC00906","black"
"LINC00944","black"
"LINC00958","black"
"LINC01036","black"
"LINC01053","black"
"LINC01102","black"
"LINC01114","black"
"LINC01127","black"
"LINC01149","black"
"LINC01208","black"
"LINC01209","black"
"LINC01213","black"
"LINC01227","black"
"LINC01287","black"
"LINC01297","black"
"LINC01301","black"
"LINC01304","black"
"LINC01337","black"
"LINC01411","black"
"LINC01415","black"
"LINC01426","black"
"LINC01446","black"
"LINC01476","black"
"LINC01478","black"
"LINC01500","black"
