"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.68165652506972,0.703,0.17,0,0,"GRIA4"
0,1.96869918021553,0.746,0.237,0,0,"XKR4"
0,2.10592019938598,0.856,0.348,0,0,"RMST"
0,2.37378909759516,0.718,0.225,0,0,"CELF4"
0,1.98241544760535,0.71,0.223,0,0,"SCN3A"
0,1.80395930561992,0.84,0.354,0,0,"PPFIA2"
0,2.82720940227055,0.592,0.118,0,0,"TENM1"
0,2.00471393595906,0.702,0.24,0,0,"RIMS1"
0,2.51307188390721,0.557,0.1,0,0,"KLHL1"
0,1.86574630604958,0.668,0.216,0,0,"DSCAM"
0,2.04648426478829,0.912,0.46,0,0,"ANK3"
0,3.27844422854556,0.535,0.086,0,0,"GALNTL6"
0,1.68647341300672,0.802,0.353,0,0,"MIR325HG"
0,1.86681324590602,0.813,0.364,0,0,"RIMS2"
0,2.47762052647698,0.56,0.114,0,0,"CNTNAP5"
0,2.34108985462413,0.629,0.183,0,0,"FGF14"
0,2.14897601596819,0.564,0.125,0,0,"SYN3"
0,2.15734822564881,0.607,0.17,0,0,"NKAIN2"
0,2.90207861074412,0.565,0.131,0,0,"CDH18"
0,1.94708703184201,0.608,0.181,0,0,"LRFN5"
0,1.91761926136873,0.671,0.245,0,0,"RAB3C"
0,1.56420344377705,0.727,0.303,0,0,"SLC8A1"
0,1.8418472501941,0.925,0.506,0,0,"ADGRL3"
0,1.8827541440249,0.79,0.371,0,0,"NRG1"
0,1.94740640500468,0.888,0.471,0,0,"NALF1"
0,2.05047604771585,0.644,0.229,0,0,"MDGA2"
0,1.88964461243419,0.6,0.188,0,0,"LINGO2"
0,2.23250707366058,0.591,0.182,0,0,"KCND2"
0,2.04070147684661,0.573,0.167,0,0,"CNTN1"
0,1.83141002665596,0.578,0.173,0,0,"SCN2A"
0,1.93344748233368,0.835,0.43,0,0,"TENM2"
0,1.55187027850582,0.768,0.374,0,0,"DCC"
0,1.9309017509288,0.553,0.16,0,0,"RUNDC3B"
0,2.49443890920947,0.548,0.158,0,0,"MGAT4C"
0,1.80720292379728,0.634,0.252,0,0,"LRRTM4"
0,1.94616813482965,0.612,0.235,0,0,"CSMD1"
0,2.07577175951241,0.88,0.504,0,0,"PBX3"
